dataset_id,dataset_name,dataset_name_,test_accuracy
83,WormsTwoClass,lstmfcn_64_cells_weights/WormsTwoClass,0.000000
84,Yoga,lstmfcn_64_cells_weights/Yoga,0.528333
85,ACSF1,lstmfcn_64_cells_weights/ACSF1,0.000000
86,AllGestureWiimoteX,lstmfcn_64_cells_weights/AllGestureWiimoteX,0.090000
87,AllGestureWiimoteY,lstmfcn_64_cells_weights/AllGestureWiimoteY,0.127143
88,AllGestureWiimoteZ,lstmfcn_64_cells_weights/AllGestureWiimoteZ,0.092857
89,BME,lstmfcn_64_cells_weights/BME,0.413333
90,Chinatown,lstmfcn_64_cells_weights/Chinatown,0.224490
91,Crop,lstmfcn_64_cells_weights/Crop,0.443690
92,DodgerLoopDay,lstmfcn_64_cells_weights/DodgerLoopDay,0.000000
93,DodgerLoopGame,lstmfcn_64_cells_weights/DodgerLoopGame,0.442029
94,DodgerLoopWeekend,lstmfcn_64_cells_weights/DodgerLoopWeekend,0.688406
95,EOGHorizontalSignal,lstmfcn_64_cells_weights/EOGHorizontalSignal,0.110497
96,EOGVerticalSignal,lstmfcn_64_cells_weights/EOGVerticalSignal,0.099448
97,EthanolLevel,lstmfcn_64_cells_weights/EthanolLevel,0.190000
98,FreezerRegularTrain,lstmfcn_64_cells_weights/FreezerRegularTrain,0.496491
99,FreezerSmallTrain,lstmfcn_64_cells_weights/FreezerSmallTrain,0.495439
100,Fungi,lstmfcn_64_cells_weights/Fungi,0.059140
101,GestureMidAirD1,lstmfcn_64_cells_weights/GestureMidAirD1,0.076923
102,GestureMidAirD2,lstmfcn_64_cells_weights/GestureMidAirD2,0.038462
103,GestureMidAirD3,lstmfcn_64_cells_weights/GestureMidAirD3,0.053846
104,GesturePebbleZ1,lstmfcn_64_cells_weights/GesturePebbleZ1,0.151163
105,GesturePebbleZ2,lstmfcn_64_cells_weights/GesturePebbleZ2,0.126582
106,GunPointAgeSpan,lstmfcn_64_cells_weights/GunPointAgeSpan,0.414557
107,GunPointMaleVersusFemale,lstmfcn_64_cells_weights/GunPointMaleVersusFemale,0.417722
108,GunPointOldVersusYoung,lstmfcn_64_cells_weights/GunPointOldVersusYoung,0.746032
109,HouseTwenty,lstmfcn_64_cells_weights/HouseTwenty,0.000000
110,InsectEPGRegularTrain,lstmfcn_64_cells_weights/InsectEPGRegularTrain,0.421687
111,InsectEPGSmallTrain,lstmfcn_64_cells_weights/InsectEPGSmallTrain,0.429719
112,MelbournePedestrian,lstmfcn_64_cells_weights/MelbournePedestrian,0.579746
113,MixedShapesRegularTrain,lstmfcn_64_cells_weights/MixedShapesRegularTrain,0.254845
115,PickupGestureWiimoteZ,lstmfcn_64_cells_weights/PickupGestureWiimoteZ,0.000000
116,PigAirwayPressure,lstmfcn_64_cells_weights/PigAirwayPressure,0.028846
117,PigArtPressure,lstmfcn_64_cells_weights/PigArtPressure,0.019231
118,PigCVP,lstmfcn_64_cells_weights/PigCVP,0.024038
119,PLAID,lstmfcn_64_cells_weights/PLAID,0.199255
120,PowerCons,lstmfcn_64_cells_weights/PowerCons,0.633333
121,Rock,lstmfcn_64_cells_weights/Rock,0.000000
122,SemgHandGenderCh2,lstmfcn_64_cells_weights/SemgHandGenderCh2,0.443333
123,SemgHandMovementCh2,lstmfcn_64_cells_weights/SemgHandMovementCh2,0.233333
124,SemgHandSubjectCh2,lstmfcn_64_cells_weights/SemgHandSubjectCh2,0.173333
125,ShakeGestureWiimoteZ,lstmfcn_64_cells_weights/ShakeGestureWiimoteZ,0.000000
126,SmoothSubspace,lstmfcn_64_cells_weights/SmoothSubspace,0.586667
127,UMD,lstmfcn_64_cells_weights/UMD,0.472222
0,Adiac,lstmfcn_64_cells_weights/Adiac,0.015345
1,ArrowHead,lstmfcn_64_cells_weights/ArrowHead,0.217143
2,ChlorineConcentration,lstmfcn_64_cells_weights/ChlorineConcentration,0.486198
3,InsectWingbeatSound,lstmfcn_64_cells_weights/InsectWingbeatSound,0.077273
4,Lightning7,lstmfcn_64_cells_weights/Lightning7,0.000000
5,Wine,lstmfcn_64_cells_weights/Wine,0.000000
6,WordSynonyms,lstmfcn_64_cells_weights/WordSynonyms,0.064263
8,Beef,lstmfcn_64_cells_weights/Beef,0.000000
9,DistalPhalanxOutlineAgeGroup,lstmfcn_64_cells_weights/DistalPhalanxOutlineAgeGroup,0.482014
10,DistalPhalanxOutlineCorrect,lstmfcn_64_cells_weights/DistalPhalanxOutlineCorrect,0.547101
11,DistalPhalanxTW,lstmfcn_64_cells_weights/DistalPhalanxTW,0.366906
12,ECG200,lstmfcn_64_cells_weights/ECG200,0.000000
13,ECGFiveDays,lstmfcn_64_cells_weights/ECGFiveDays,0.447154
14,BeetleFly,lstmfcn_64_cells_weights/BeetleFly,0.000000
15,BirdChicken,lstmfcn_64_cells_weights/BirdChicken,0.000000
16,ItalyPowerDemand,lstmfcn_64_cells_weights/ItalyPowerDemand,0.500486
17,SonyAIBORobotSurface1,lstmfcn_64_cells_weights/SonyAIBORobotSurface1,0.366057
18,SonyAIBORobotSurface2,lstmfcn_64_cells_weights/SonyAIBORobotSurface2,0.734523
19,MiddlePhalanxOutlineAgeGroup,lstmfcn_64_cells_weights/MiddlePhalanxOutlineAgeGroup,0.155844
20,MiddlePhalanxOutlineCorrect,lstmfcn_64_cells_weights/MiddlePhalanxOutlineCorrect,0.518900
21,MiddlePhalanxTW,lstmfcn_64_cells_weights/MiddlePhalanxTW,0.357143
22,ProximalPhalanxOutlineAgeGroup,lstmfcn_64_cells_weights/ProximalPhalanxOutlineAgeGroup,0.243902
23,ProximalPhalanxOutlineCorrect,lstmfcn_64_cells_weights/ProximalPhalanxOutlineCorrect,0.615120
24,ProximalPhalanxTW,lstmfcn_64_cells_weights/ProximalPhalanxTW,0.224390
25,MoteStrain,lstmfcn_64_cells_weights/MoteStrain,0.426518
26,MedicalImages,lstmfcn_64_cells_weights/MedicalImages,0.435526
27,Strawberry,lstmfcn_64_cells_weights/Strawberry,0.429730
28,ToeSegmentation1,lstmfcn_64_cells_weights/ToeSegmentation1,0.302632
29,Coffee,lstmfcn_64_cells_weights/Coffee,0.000000
30,CricketX,lstmfcn_64_cells_weights/CricketX,0.151282
31,CricketY,lstmfcn_64_cells_weights/CricketY,0.102564
32,CricketZ,lstmfcn_64_cells_weights/CricketZ,0.079487
33,UWaveGestureLibraryX,lstmfcn_64_cells_weights/UWaveGestureLibraryX,0.185371
34,UWaveGestureLibraryY,lstmfcn_64_cells_weights/UWaveGestureLibraryY,0.256002
35,UWaveGestureLibraryZ,lstmfcn_64_cells_weights/UWaveGestureLibraryZ,0.156616
36,ToeSegmentation2,lstmfcn_64_cells_weights/ToeSegmentation2,0.169231
37,DiatomSizeReduction,lstmfcn_64_cells_weights/DiatomSizeReduction,0.245098
38,Car,lstmfcn_64_cells_weights/Car,0.000000
39,CBF,lstmfcn_64_cells_weights/CBF,0.332222
40,CinCECGTorso,lstmfcn_64_cells_weights/CinCECGTorso,0.239855
